he2022
105
pe
wavel  k
4.5363500085  n  1.30131
4.5451400011  n  1.30213
4.5539199929  n  1.30308
4.5627100096  n  1.30329
4.5714899914  n  1.30384
4.5802699896  n  1.30413
4.5890600022  n  1.30422
4.5978399936  n  1.30445
4.6066200105  n  1.30463
4.6154100001  n  1.30459
4.624189998  n  1.30511
4.632970001  n  1.30484
4.6417600098  n  1.30484
4.6505400077  n  1.30485
4.6593200031  n  1.30461
4.6681100058  n  1.30461
4.6768899927  n  1.30434
4.6856700043  n  1.30435
4.6944599917  n  1.30373
4.7032399952  n  1.30328
4.7120199974  n  1.30301
4.7208099985  n  1.30302
4.7295899959  n  1.30235
4.7383799914  n  1.30161
4.7471599925  n  1.30176
4.7559399978  n  1.30147
4.7647299972  n  1.30065
4.7735100058  n  1.30057
4.7822900018  n  1.29996
4.7910799979  n  1.29969
4.7998599977  n  1.29889
4.8086400028  n  1.29844
4.8174300013  n  1.29822
4.8262100114  n  1.29744
4.8349900104  n  1.29693
4.8437800057  n  1.29699
4.8525600107  n  1.2963
4.8613399992  n  1.29555
4.8701299966  n  1.29513
4.8789099914  n  1.29435
4.8877000091  n  1.29389
4.896479991  n  1.29374
4.9052600045  n  1.29318
4.9140499977  n  1.2925
4.9228300121  n  1.29177
4.9316100105  n  1.29146
4.9404000025  n  1.29112
4.9491799887  n  1.29021
4.9579599946  n  1.28944
4.9667499928  n  1.28916
4.9755299952  n  1.28882
4.9843099903  n  1.28811
4.9931000101  n  1.28773
5.0018800066  n  1.28728
5.0106600038  n  1.28644
5.0194499923  n  1.28606
5.0282299916  n  1.28529
5.0370100103  n  1.28497
5.0457999949  n  1.28445
5.0545800121  n  1.284
5.0633699996  n  1.28326
5.0721499895  n  1.28285
5.0809299929  n  1.28181
5.0897200065  n  1.28108
5.0985000121  n  1.2811
5.1072799996  n  1.27984
5.1160699938  n  1.27986
5.1248500072  n  1.27906
5.1336300062  n  1.27865
5.1424199901  n  1.27786
