mastrapa2008Ia
97.5
ne
wavel, n, k
1.171118 1.289872 9.981030E-06
1.171250 1.289871 1.130976E-05
1.171383 1.289872 1.128720E-05
1.171515 1.289872 1.009923E-05
1.171648 1.289871 9.523529E-06
1.171780 1.289871 1.103010E-05
1.171912 1.289871 1.081878E-05
1.172045 1.289871 1.104493E-05
1.172177 1.289871 1.021175E-05
1.172310 1.289870 1.050890E-05
1.172442 1.289871 1.199054E-05
1.172575 1.289871 1.074160E-05
1.172708 1.289871 1.043694E-05
1.172840 1.289870 1.079822E-05
1.172973 1.289871 1.133181E-05
1.173106 1.289871 1.064358E-05
1.173238 1.289870 1.104859E-05
1.173371 1.289870 1.143752E-05
1.173504 1.289870 1.136700E-05
1.173637 1.289871 1.192211E-05
1.173769 1.289871 1.064392E-05
1.173902 1.289870 1.179700E-05
1.174035 1.289871 1.181871E-05
1.174168 1.289871 1.100189E-05
1.174301 1.289871 1.105181E-05
1.174434 1.289870 1.012549E-05
1.174567 1.289870 1.149353E-05
1.174700 1.289871 1.166527E-05
1.174833 1.289871 1.142942E-05
1.174967 1.289871 1.031663E-05
1.175100 1.289871 1.002059E-05
1.175233 1.289870 9.634598E-06
1.175366 1.289870 9.716731E-06
1.175499 1.289869 1.013897E-05
1.175633 1.289869 1.153877E-05
1.175766 1.289869 1.103115E-05
1.175899 1.289869 1.137952E-05
1.176033 1.289869 1.102693E-05
1.176166 1.289869 1.124077E-05
1.176299 1.289869 1.170786E-05
1.176433 1.289870 1.155444E-05
1.176566 1.289869 1.022823E-05
1.176700 1.289869 1.127781E-05
1.176833 1.289869 1.127887E-05
1.176967 1.289869 1.173332E-05
1.177101 1.289869 1.251634E-05
1.177234 1.289870 1.117853E-05
1.177368 1.289869 1.176670E-05
1.177502 1.289870 1.132935E-05
1.177635 1.289869 1.076690E-05
1.177769 1.289869 1.126964E-05
1.177903 1.289869 1.242936E-05
1.178037 1.289870 1.113775E-05
1.178171 1.289869 1.064740E-05
1.178305 1.289869 1.162669E-05
1.178438 1.289869 1.159050E-05
1.178572 1.289869 1.136351E-05
1.178706 1.289869 1.187162E-05
1.178840 1.289869 1.247469E-05
1.178974 1.289869 1.161389E-05
1.179108 1.289870 1.242979E-05
1.179243 1.289869 1.010378E-05
1.179377 1.289868 1.059604E-05
1.179511 1.289868 1.220388E-05
1.179645 1.289869 1.212500E-05
1.179779 1.289869 1.131020E-05
1.179914 1.289869 1.092747E-05
1.180048 1.289869 1.031196E-05
1.180182 1.289868 1.135658E-05
1.180316 1.289868 1.091519E-05
1.180451 1.289868 1.100562E-05
1.180585 1.289868 1.082423E-05
1.180720 1.289868 1.138126E-05
1.180854 1.289868 1.051398E-05
1.180989 1.289868 1.076289E-05
1.181123 1.289867 1.107998E-05
1.181258 1.289867 1.241462E-05
1.181392 1.289868 1.191446E-05
1.181527 1.289868 1.170738E-05
1.181662 1.289868 1.111307E-05
1.181796 1.289868 1.264284E-05
1.181931 1.289868 1.117114E-05
1.182066 1.289868 1.046996E-05
1.182200 1.289867 1.125384E-05
1.182335 1.289867 1.290286E-05
1.182470 1.289868 1.213060E-05
1.182605 1.289868 1.120340E-05
1.182740 1.289868 1.221160E-05
1.182875 1.289868 1.061072E-05
1.183010 1.289867 1.056568E-05
1.183145 1.289867 1.019764E-05
1.183280 1.289866 1.133482E-05
1.183415 1.289866 1.201656E-05
1.183550 1.289867 1.160323E-05
1.183685 1.289867 1.201023E-05
1.183820 1.289866 1.159008E-05
1.183955 1.289867 1.269386E-05
1.184090 1.289867 1.150117E-05
1.184226 1.289867 1.151816E-05
1.184361 1.289866 1.145124E-05
1.184496 1.289866 1.217542E-05
1.184632 1.289867 1.212252E-05
1.184767 1.289867 1.111719E-05
1.184902 1.289866 1.149438E-05
1.185038 1.289866 1.098041E-05
1.185173 1.289866 1.156184E-05
1.185309 1.289865 1.121293E-05
1.185444 1.289865 1.196141E-05
1.185580 1.289865 1.365020E-05
1.185715 1.289866 1.258646E-05
1.185851 1.289866 1.196472E-05
1.185987 1.289865 1.253512E-05
1.186122 1.289866 1.327448E-05
1.186258 1.289866 1.308113E-05
1.186394 1.289866 1.252263E-05
1.186529 1.289866 1.222784E-05
1.186665 1.289866 1.283022E-05
1.186801 1.289866 1.225822E-05
1.186937 1.289866 1.176242E-05
1.187073 1.289866 1.283451E-05
1.187209 1.289865 1.204480E-05
1.187345 1.289866 1.378359E-05
1.187481 1.289866 1.241782E-05
1.187617 1.289866 1.151154E-05
1.187753 1.289866 1.155520E-05
1.187889 1.289866 1.220058E-05
1.188025 1.289865 1.090433E-05
1.188161 1.289864 1.130194E-05
1.188297 1.289864 1.237748E-05
1.188433 1.289865 1.333745E-05
1.188569 1.289865 1.238907E-05
1.188706 1.289865 1.204806E-05
1.188842 1.289864 1.250554E-05
1.188978 1.289865 1.324551E-05
1.189115 1.289865 1.285862E-05
1.189251 1.289865 1.223059E-05
1.189387 1.289864 1.124152E-05
1.189524 1.289864 1.327582E-05
1.189660 1.289864 1.230737E-05
1.189797 1.289864 1.245581E-05
1.189933 1.289864 1.317096E-05
1.190070 1.289864 1.229233E-05
1.190207 1.289864 1.290945E-05
1.190343 1.289864 1.219506E-05
1.190480 1.289864 1.228076E-05
1.190617 1.289864 1.244784E-05
1.190753 1.289864 1.273592E-05
1.190890 1.289863 1.194585E-05
1.191027 1.289863 1.296123E-05
1.191164 1.289863 1.323870E-05
1.191301 1.289863 1.378541E-05
1.191437 1.289863 1.253078E-05
1.191574 1.289863 1.300657E-05
1.191711 1.289863 1.352976E-05
1.191848 1.289863 1.324159E-05
1.191985 1.289863 1.326863E-05
1.192122 1.289863 1.399259E-05
1.192259 1.289863 1.411249E-05
1.192396 1.289863 1.384277E-05
1.192534 1.289863 1.354280E-05
1.192671 1.289863 1.357694E-05
1.192808 1.289863 1.304899E-05
